source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined
WRD_WHOJHU,22-01-2020,San Marino,SMR,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Hunan,,,,4,,,,,
WRD_WHOJHU,22-01-2020,Tanzania,TZA,,,,,,,,,,
WRD_WHOJHU,22-01-2020,United Kingdom,GBR,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Australia,AUS,Northern Territory,,,,,,,,,
WRD_WHOJHU,22-01-2020,Mexico,MEX,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Cyprus,CYP,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Lithuania,LTU,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Tianjin,,,,4,,,,,
WRD_WHOJHU,22-01-2020,Senegal,SEN,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Netherlands,NLD,Curacao,,,,,,,,,
WRD_WHOJHU,22-01-2020,Czechia,CZE,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Inner Mongolia,,,,,,,,,
WRD_WHOJHU,22-01-2020,United Arab Emirates,ARE,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Canada,CAN,Recovered,,,,,,,,,
WRD_WHOJHU,22-01-2020,United Kingdom,GBR,Montserrat,,,,,,,,,
WRD_WHOJHU,22-01-2020,Cuba,CUB,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Dominica,DMA,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Australia,AUS,New South Wales,,,,,,,,,
WRD_WHOJHU,22-01-2020,Saudi Arabia,SAU,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Uzbekistan,UZB,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Nicaragua,NIC,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Serbia,SRB,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Armenia,ARM,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Luxembourg,LUX,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Bosnia and Herzegovina,BIH,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Saint Vincent and the Grenadines,VCT,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Croatia,HRV,,,,,,,,,,
WRD_WHOJHU,22-01-2020,United Kingdom,GBR,Isle of Man,,,,,,,,,
WRD_WHOJHU,22-01-2020,United Kingdom,GBR,Gibraltar,,,,,,,,,
WRD_WHOJHU,22-01-2020,Indonesia,IDN,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Australia,AUS,South Australia,,,,,,,,,
WRD_WHOJHU,22-01-2020,Australia,AUS,Australian Capital Territory,,,,,,,,,
WRD_WHOJHU,22-01-2020,Singapore,SGP,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Madagascar,MDG,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Beijing,,,,14,,,,,
WRD_WHOJHU,22-01-2020,Brazil,BRA,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Slovakia,SVK,,,,,,,,,,
WRD_WHOJHU,22-01-2020,North Macedonia,MKD,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Jiangxi,,,,2,,,,,
WRD_WHOJHU,22-01-2020,Ukraine,UKR,,,,,,,,,,
WRD_WHOJHU,22-01-2020,India,IND,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Seychelles,SYC,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Israel,ISR,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Bahamas,BHS,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Canada,CAN,Newfoundland and Labrador,,,,,,,,,
WRD_WHOJHU,22-01-2020,Moldova,MDA,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Brunei,BRN,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Kenya,KEN,,,,,,,,,,
WRD_WHOJHU,22-01-2020,"Korea, South",KOR,,,,,1,,,,,
WRD_WHOJHU,22-01-2020,Hungary,HUN,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Cabo Verde,CPV,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Sri Lanka,LKA,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Canada,CAN,British Columbia,,,,,,,,,
WRD_WHOJHU,22-01-2020,Italy,ITA,,,,,,,,,,
WRD_WHOJHU,22-01-2020,United Kingdom,GBR,Falkland Islands (Malvinas),,,,,,,,,
WRD_WHOJHU,22-01-2020,Iceland,ISL,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Burma,MMR,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Western Sahara,ESH,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Monaco,MCO,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Ships,---,MS Zaandam,,,,,,,,,
WRD_WHOJHU,22-01-2020,France,FRA,French Guiana,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Liaoning,,,,2,,,,,
WRD_WHOJHU,22-01-2020,South Sudan,SSD,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Gansu,,,,,,,,,
WRD_WHOJHU,22-01-2020,Canada,CAN,Nova Scotia,,,,,,,,,
WRD_WHOJHU,22-01-2020,Kosovo,XKX,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Honduras,HND,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Bulgaria,BGR,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Mongolia,MNG,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Burkina Faso,BFA,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Cameroon,CMR,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Haiti,HTI,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Chongqing,,,,6,,,,,
WRD_WHOJHU,22-01-2020,Canada,CAN,Yukon,,,,,,,,,
WRD_WHOJHU,22-01-2020,Morocco,MAR,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Canada,CAN,Ontario,,,,,,,,,
WRD_WHOJHU,22-01-2020,Suriname,SUR,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Fujian,,,,1,,,,,
WRD_WHOJHU,22-01-2020,Bhutan,BTN,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Guinea-Bissau,GNB,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Namibia,NAM,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Switzerland,CHE,,,,,,,,,,
WRD_WHOJHU,22-01-2020,United Kingdom,GBR,Channel Islands,,,,,,,,,
WRD_WHOJHU,22-01-2020,Guyana,GUY,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Canada,CAN,Prince Edward Island,,,,,,,,,
WRD_WHOJHU,22-01-2020,Angola,AGO,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Canada,CAN,Saskatchewan,,,,,,,,,
WRD_WHOJHU,22-01-2020,Canada,CAN,Manitoba,,,,,,,,,
WRD_WHOJHU,22-01-2020,Finland,FIN,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Shandong,,,,2,,,,,
WRD_WHOJHU,22-01-2020,Saint Kitts and Nevis,KNA,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Guinea,GIN,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Guangxi,,,,2,,,,,
WRD_WHOJHU,22-01-2020,Malawi,MWI,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Nepal,NPL,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Jiangsu,,,,1,,,,,
WRD_WHOJHU,22-01-2020,Canada,CAN,Quebec,,,,,,,,,
WRD_WHOJHU,22-01-2020,Mali,MLI,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Ghana,GHA,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Ningxia,,,,1,,,,,
WRD_WHOJHU,22-01-2020,Benin,BEN,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Greece,GRC,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Kuwait,KWT,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Kazakhstan,KAZ,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Jilin,,,,,,,,,
WRD_WHOJHU,22-01-2020,Jordan,JOR,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Botswana,BWA,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Sao Tome and Principe,STP,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Shanghai,,,,9,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Yunnan,,,,1,,,,,
WRD_WHOJHU,22-01-2020,Netherlands,NLD,Sint Maarten,,,,,,,,,
WRD_WHOJHU,22-01-2020,France,FRA,Reunion,,,,,,,,,
WRD_WHOJHU,22-01-2020,Sierra Leone,SLE,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Liberia,LBR,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Belgium,BEL,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Germany,DEU,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Shanxi,,,,1,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Guangdong,,,,26,,,,,
WRD_WHOJHU,22-01-2020,Denmark,DNK,Faroe Islands,,,,,,,,,
WRD_WHOJHU,22-01-2020,Ships,---,Diamond Princess,,,,,,,,,
WRD_WHOJHU,22-01-2020,Trinidad and Tobago,TTO,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Libya,LBY,,,,,,,,,,
WRD_WHOJHU,22-01-2020,New Zealand,NZL,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Netherlands,NLD,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Malta,MLT,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Georgia,GEO,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Belarus,BLR,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Canada,CAN,Alberta,,,,,,,,,
WRD_WHOJHU,22-01-2020,Canada,CAN,Grand Princess,,,,,,,,,
WRD_WHOJHU,22-01-2020,France,FRA,New Caledonia,,,,,,,,,
WRD_WHOJHU,22-01-2020,Gambia,GMB,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Belize,BLZ,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Timor-Leste,TLS,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Chad,TCD,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Barbados,BRB,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Nigeria,NGA,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Taiwan,TWN,,,,,1,,,,,
WRD_WHOJHU,22-01-2020,France,FRA,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Chile,CHL,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Niger,NER,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Turkey,TUR,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Iraq,IRQ,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Sudan,SDN,,,,,,,,,,
WRD_WHOJHU,22-01-2020,France,FRA,French Polynesia,,,,,,,,,
WRD_WHOJHU,22-01-2020,Bangladesh,BGD,,,,,,,,,,
WRD_WHOJHU,22-01-2020,France,FRA,Mayotte,,,,,,,,,
WRD_WHOJHU,22-01-2020,Algeria,DZA,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Macau,,,,1,,,,,
WRD_WHOJHU,22-01-2020,Norway,NOR,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Bolivia,BOL,,,,,,,,,,
WRD_WHOJHU,22-01-2020,France,FRA,St Martin,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Tibet,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Anhui,,,,1,,,,,
WRD_WHOJHU,22-01-2020,Syria,SYR,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Mozambique,MOZ,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Oman,OMN,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Cambodia,KHM,,,,,,,,,,
WRD_WHOJHU,22-01-2020,France,FRA,Saint Pierre and Miquelon,,,,,,,,,
WRD_WHOJHU,22-01-2020,Bahrain,BHR,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Ireland,IRL,,,,,,,,,,
WRD_WHOJHU,22-01-2020,United Kingdom,GBR,Bermuda,,,,,,,,,
WRD_WHOJHU,22-01-2020,Burundi,BDI,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Togo,TGO,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Antigua and Barbuda,ATG,,,,,,,,,,
WRD_WHOJHU,22-01-2020,United Kingdom,GBR,Turks and Caicos Islands,,,,,,,,,
WRD_WHOJHU,22-01-2020,France,FRA,Saint Barthelemy,,,,,,,,,
WRD_WHOJHU,22-01-2020,Gabon,GAB,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Qinghai,,,,,,,,,
WRD_WHOJHU,22-01-2020,France,FRA,Guadeloupe,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Sichuan,,,,5,,,,,
WRD_WHOJHU,22-01-2020,Kyrgyzstan,KGZ,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Grenada,GRD,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Colombia,COL,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Panama,PAN,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Holy See,VAT,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Japan,JPN,,,,,2,,,,,
WRD_WHOJHU,22-01-2020,Pakistan,PAK,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Fiji,FJI,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Azerbaijan,AZE,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Papua New Guinea,PNG,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Guizhou,,,,1,,,,,
WRD_WHOJHU,22-01-2020,Latvia,LVA,,,,,,,,,,
WRD_WHOJHU,22-01-2020,United Kingdom,GBR,Falkland Islands (Islas Malvinas),,,,,,,,,
WRD_WHOJHU,22-01-2020,Estonia,EST,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Central African Republic,CAF,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Mauritania,MRT,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Uganda,UGA,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Congo (Brazzaville),COG,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Iran,IRN,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Hainan,,,,4,,,,,
WRD_WHOJHU,22-01-2020,Eswatini,SWZ,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Canada,CAN,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Austria,AUT,,,,,,,,,,
WRD_WHOJHU,22-01-2020,France,FRA,Martinique,,,,,,,,,
WRD_WHOJHU,22-01-2020,Canada,CAN,New Brunswick,,,,,,,,,
WRD_WHOJHU,22-01-2020,Peru,PER,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Canada,CAN,Diamond Princess,,,,,,,,,
WRD_WHOJHU,22-01-2020,Eritrea,ERI,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Guatemala,GTM,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Paraguay,PRY,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Zimbabwe,ZWE,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Philippines,PHL,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Albania,ALB,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Ethiopia,ETH,,,,,,,,,,
WRD_WHOJHU,22-01-2020,El Salvador,SLV,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Tunisia,TUN,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Malaysia,MYS,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Australia,AUS,Western Australia,,,,,,,,,
WRD_WHOJHU,22-01-2020,Netherlands,NLD,Aruba,,,,,,,,,
WRD_WHOJHU,22-01-2020,Equatorial Guinea,GNQ,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Zambia,ZMB,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Lebanon,LBN,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Portugal,PRT,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Australia,AUS,Tasmania,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Hebei,,,,1,,,,,
WRD_WHOJHU,22-01-2020,Canada,CAN,Northwest Territories,,,,,,,,,
WRD_WHOJHU,22-01-2020,United Kingdom,GBR,Cayman Islands,,,,,,,,,
WRD_WHOJHU,22-01-2020,Montenegro,MNE,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Xinjiang,,,,,,,,,
WRD_WHOJHU,22-01-2020,Australia,AUS,Victoria,,,,,,,,,
WRD_WHOJHU,22-01-2020,Egypt,EGY,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Poland,POL,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Henan,,,,5,,,,,
WRD_WHOJHU,22-01-2020,Mauritius,MUS,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Slovenia,SVN,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Argentina,ARG,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Zhejiang,,,,10,,,,,
WRD_WHOJHU,22-01-2020,Vietnam,VNM,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Qatar,QAT,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Dominican Republic,DOM,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Venezuela,VEN,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Heilongjiang,,,,,,,,,
WRD_WHOJHU,22-01-2020,Ecuador,ECU,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Russia,RUS,,,,,,,,,,
WRD_WHOJHU,22-01-2020,US,USA,,,,,1,,,,,
WRD_WHOJHU,22-01-2020,Liechtenstein,LIE,,,,,,,,,,
WRD_WHOJHU,22-01-2020,United Kingdom,GBR,British Virgin Islands,,,,,,,,,
WRD_WHOJHU,22-01-2020,Laos,LAO,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Romania,ROU,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Costa Rica,CRI,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Jamaica,JAM,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Djibouti,DJI,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Saint Lucia,LCA,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Netherlands,NLD,"Bonaire, Sint Eustatius and Saba",,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Shaanxi,,,,,,,,,
WRD_WHOJHU,22-01-2020,Denmark,DNK,Greenland,,,,,,,,,
WRD_WHOJHU,22-01-2020,Uruguay,URY,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Rwanda,RWA,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Hubei,,,,444,28,17,,,
WRD_WHOJHU,22-01-2020,Andorra,AND,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Somalia,SOM,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Hong Kong,,,,,,,,,
WRD_WHOJHU,22-01-2020,West Bank and Gaza,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Congo (Kinshasa),COD,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Afghanistan,AFG,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Denmark,DNK,,,,,,,,,,
WRD_WHOJHU,22-01-2020,South Africa,ZAF,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Australia,AUS,Queensland,,,,,,,,,
WRD_WHOJHU,22-01-2020,Cote d'Ivoire,CIV,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Thailand,THA,,,,,2,,,,,
WRD_WHOJHU,22-01-2020,Maldives,MDV,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Spain,ESP,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Sweden,SWE,,,,,,,,,,
WRD_WHOJHU,22-01-2020,United Kingdom,GBR,Anguilla,,,,,,,,,
WRD_WHOJHU,23-01-2020,Malawi,MWI,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Israel,ISR,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Kenya,KEN,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Afghanistan,AFG,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Angola,AGO,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Cambodia,KHM,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Jamaica,JAM,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Tunisia,TUN,,,,,,,,,,
WRD_WHOJHU,23-01-2020,"Korea, South",KOR,,,,,1,,,,,
WRD_WHOJHU,23-01-2020,Canada,CAN,British Columbia,,,,,,,,,
WRD_WHOJHU,23-01-2020,Burundi,BDI,,,,,,,,,,
WRD_WHOJHU,23-01-2020,France,FRA,French Guiana,,,,,,,,,
WRD_WHOJHU,23-01-2020,Japan,JPN,,,,,2,,,,,
WRD_WHOJHU,23-01-2020,Cameroon,CMR,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Finland,FIN,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Kazakhstan,KAZ,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Fiji,FJI,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Botswana,BWA,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Sierra Leone,SLE,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Canada,CAN,Alberta,,,,,,,,,
WRD_WHOJHU,23-01-2020,Jordan,JOR,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Turkey,TUR,,,,,,,,,,
WRD_WHOJHU,23-01-2020,China,CHN,Macau,,,,2,,,,,
WRD_WHOJHU,23-01-2020,Tanzania,TZA,,,,,,,,,,
WRD_WHOJHU,23-01-2020,China,CHN,Tibet,,,,,,,,,
WRD_WHOJHU,23-01-2020,Indonesia,IDN,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Antigua and Barbuda,ATG,,,,,,,,,,
WRD_WHOJHU,23-01-2020,South Africa,ZAF,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Congo (Brazzaville),COG,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Uganda,UGA,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Malaysia,MYS,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Slovenia,SVN,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Argentina,ARG,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Laos,LAO,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Costa Rica,CRI,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Somalia,SOM,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Congo (Kinshasa),COD,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Ukraine,UKR,,,,,,,,,,
WRD_WHOJHU,23-01-2020,China,CHN,Jilin,,,,1,,,,,
WRD_WHOJHU,23-01-2020,China,CHN,Jiangsu,,,,5,,,,,
WRD_WHOJHU,23-01-2020,Cote d'Ivoire,CIV,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Slovakia,SVK,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Canada,CAN,Recovered,,,,,,,,,
WRD_WHOJHU,23-01-2020,Seychelles,SYC,,,,,,,,,,
WRD_WHOJHU,23-01-2020,United Arab Emirates,ARE,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Madagascar,MDG,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Singapore,SGP,,,,,1,,,,,
WRD_WHOJHU,23-01-2020,Bulgaria,BGR,,,,,,,,,,
WRD_WHOJHU,23-01-2020,United Kingdom,GBR,Gibraltar,,,,,,,,,
WRD_WHOJHU,23-01-2020,Ships,---,Diamond Princess,,,,,,,,,
WRD_WHOJHU,23-01-2020,Croatia,HRV,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Luxembourg,LUX,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Serbia,SRB,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Venezuela,VEN,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Saudi Arabia,SAU,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Australia,AUS,New South Wales,,,,,,,,,
WRD_WHOJHU,23-01-2020,Cuba,CUB,,,,,,,,,,
WRD_WHOJHU,23-01-2020,United Kingdom,GBR,Montserrat,,,,,,,,,
WRD_WHOJHU,23-01-2020,United Kingdom,GBR,Bermuda,,,,,,,,,
WRD_WHOJHU,23-01-2020,China,CHN,Inner Mongolia,,,,,,,,,
WRD_WHOJHU,23-01-2020,Senegal,SEN,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Czechia,CZE,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Togo,TGO,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Lithuania,LTU,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Australia,AUS,Northern Territory,,,,,,,,,
WRD_WHOJHU,23-01-2020,China,CHN,Tianjin,,,,4,,,,,
WRD_WHOJHU,23-01-2020,Cyprus,CYP,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Denmark,DNK,Faroe Islands,,,,,,,,,
WRD_WHOJHU,23-01-2020,United Kingdom,GBR,,,,,,,,,,
WRD_WHOJHU,23-01-2020,San Marino,SMR,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Trinidad and Tobago,TTO,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Sudan,SDN,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Australia,AUS,Queensland,,,,,,,,,
WRD_WHOJHU,23-01-2020,Taiwan,TWN,,,,,1,,,,,
WRD_WHOJHU,23-01-2020,Denmark,DNK,,,,,,,,,,
WRD_WHOJHU,23-01-2020,China,CHN,Hong Kong,,,,2,,,,,
WRD_WHOJHU,23-01-2020,Saint Vincent and the Grenadines,VCT,,,,,,,,,,
WRD_WHOJHU,23-01-2020,US,USA,,,,,1,,,,,
WRD_WHOJHU,23-01-2020,Saint Lucia,LCA,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Thailand,THA,,,,,3,,,,,
WRD_WHOJHU,23-01-2020,China,CHN,Hubei,,,,444,28,17,,,
WRD_WHOJHU,23-01-2020,Rwanda,RWA,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Uruguay,URY,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Denmark,DNK,Greenland,,,,,,,,,
WRD_WHOJHU,23-01-2020,China,CHN,Shaanxi,,,,3,,,,,
WRD_WHOJHU,23-01-2020,Netherlands,NLD,"Bonaire, Sint Eustatius and Saba",,,,,,,,,
WRD_WHOJHU,23-01-2020,United Kingdom,GBR,Isle of Man,,,,,,,,,
WRD_WHOJHU,23-01-2020,Djibouti,DJI,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Romania,ROU,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Uzbekistan,UZB,,,,,,,,,,
WRD_WHOJHU,23-01-2020,Liechtenstein,LIE,,,,,,,,,,
