source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
AUS_C1A,25-01-2020,Australia,AUS,,,,,4,,,,,,['AUS']
AUS_C1A,27-01-2020,Australia,AUS,,,,,5,,,,,,['AUS']
AUS_C1A,29-01-2020,Australia,AUS,,,,,7,,,,,,['AUS']
AUS_C1A,30-01-2020,Australia,AUS,,,,,9,,,,,,['AUS']
AUS_C1A,01-02-2020,Australia,AUS,,,,,10,,,,,,['AUS']
AUS_C1A,02-02-2020,Australia,AUS,,,,,12,,,,,,['AUS']
AUS_C1A,08-02-2020,Australia,AUS,,,,,15,5,,,,,['AUS']
AUS_C1A,12-02-2020,Australia,AUS,,,,,15,5,,,,,['AUS']
AUS_C1A,13-02-2020,Australia,AUS,,,,,15,6,,,,,['AUS']
AUS_C1A,16-02-2020,Australia,AUS,,,,,15,8,,,,,['AUS']
AUS_C1A,17-02-2020,Australia,AUS,,,,,15,8,,,,,['AUS']
AUS_C1A,18-02-2020,Australia,AUS,,,,,15,8,,,,,['AUS']
AUS_C1A,19-02-2020,Australia,AUS,,,,,15,10,,,,,['AUS']
AUS_C1A,20-02-2020,Australia,AUS,,,,,17,10,,,,,['AUS']
AUS_C1A,21-02-2020,Australia,AUS,,,,,21,10,,,,,['AUS']
AUS_C1A,22-02-2020,Australia,AUS,,,,,22,10,,,,,['AUS']
AUS_C1A,23-02-2020,Australia,AUS,,,,,22,10,,,,,['AUS']
AUS_C1A,24-02-2020,Australia,AUS,,,,,22,15,,,,,['AUS']
AUS_C1A,25-02-2020,Australia,AUS,,,,,23,15,,,,,['AUS']
AUS_C1A,26-02-2020,Australia,AUS,,,,,23,15,,,,,['AUS']
AUS_C1A,27-02-2020,Australia,AUS,,,,,23,15,,,,,['AUS']
AUS_C1A,28-02-2020,Australia,AUS,,,,,25,15,,,,,['AUS']
AUS_C1A,29-02-2020,Australia,AUS,,,,,26,15,,,,,['AUS']
AUS_C1A,01-03-2020,Australia,AUS,,,,,29,15,1,,,,['AUS']
AUS_C1A,02-03-2020,Australia,AUS,,,,,33,21,1,,,,['AUS']
AUS_C1A,03-03-2020,Australia,AUS,,,,,41,21,1,,,,['AUS']
AUS_C1A,04-03-2020,Australia,AUS,,,,,52,21,2,,,,['AUS']
AUS_C1A,04-03-2020,Australia,AUS,Australian Capital Territory,,,,,,,,,,['AUS.2_1']
AUS_C1A,04-03-2020,Australia,AUS,New South Wales,,,,22,,,,,,['AUS.5_1']
AUS_C1A,04-03-2020,Australia,AUS,Northern Territory,,,,1,,,,,,['AUS.6_1']
AUS_C1A,04-03-2020,Australia,AUS,Queensland,,,,11,,,,,,['AUS.7_1']
AUS_C1A,04-03-2020,Australia,AUS,South Australia,,,,5,,,,,,['AUS.8_1']
AUS_C1A,04-03-2020,Australia,AUS,Tasmania,,,,1,,,,,,['AUS.9_1']
AUS_C1A,04-03-2020,Australia,AUS,Victoria,,,,10,,,,,,['AUS.10_1']
AUS_C1A,04-03-2020,Australia,AUS,Western Australia,,,,2,,,,,,['AUS.11_1']
AUS_C1A,05-03-2020,Australia,AUS,,,,,57,21,2,,,,['AUS']
AUS_C1A,05-03-2020,Australia,AUS,Australian Capital Territory,,,,,,,,,,['AUS.2_1']
AUS_C1A,05-03-2020,Australia,AUS,New South Wales,,,,25,,,,,,['AUS.5_1']
AUS_C1A,05-03-2020,Australia,AUS,Northern Territory,,,,1,,,,,,['AUS.6_1']
AUS_C1A,05-03-2020,Australia,AUS,Queensland,,,,13,,,,,,['AUS.7_1']
AUS_C1A,05-03-2020,Australia,AUS,South Australia,,,,7,,,,,,['AUS.8_1']
AUS_C1A,05-03-2020,Australia,AUS,Tasmania,,,,1,,,,,,['AUS.9_1']
AUS_C1A,05-03-2020,Australia,AUS,Victoria,,,,10,,,,,,['AUS.10_1']
AUS_C1A,05-03-2020,Australia,AUS,Western Australia,,,,3,,,,,,['AUS.11_1']
AUS_C1A,06-03-2020,Australia,AUS,,,,,63,22,2,,,,['AUS']
AUS_C1A,06-03-2020,Australia,AUS,Australian Capital Territory,,,,,,,,,,['AUS.2_1']
AUS_C1A,06-03-2020,Australia,AUS,New South Wales,,,,28,,,,,,['AUS.5_1']
AUS_C1A,06-03-2020,Australia,AUS,Northern Territory,,,,,,,,,,['AUS.6_1']
AUS_C1A,06-03-2020,Australia,AUS,Queensland,,,,14,,,,,,['AUS.7_1']
AUS_C1A,06-03-2020,Australia,AUS,South Australia,,,,7,,,,,,['AUS.8_1']
AUS_C1A,06-03-2020,Australia,AUS,Tasmania,,,,1,,,,,,['AUS.9_1']
AUS_C1A,06-03-2020,Australia,AUS,Victoria,,,,10,,,,,,['AUS.10_1']
AUS_C1A,06-03-2020,Australia,AUS,Western Australia,,,,3,,,,,,['AUS.11_1']
AUS_C1A,07-03-2020,Australia,AUS,,,,,73,22,2,,,,['AUS']
AUS_C1A,07-03-2020,Australia,AUS,Australian Capital Territory,,,,,,,,,,['AUS.2_1']
AUS_C1A,07-03-2020,Australia,AUS,New South Wales,,,,36,,,,,,['AUS.5_1']
AUS_C1A,07-03-2020,Australia,AUS,Northern Territory,,,,,,,,,,['AUS.6_1']
AUS_C1A,07-03-2020,Australia,AUS,Queensland,,,,14,,,,,,['AUS.7_1']
AUS_C1A,07-03-2020,Australia,AUS,South Australia,,,,7,,,,,,['AUS.8_1']
AUS_C1A,07-03-2020,Australia,AUS,Tasmania,,,,2,,,,,,['AUS.9_1']
AUS_C1A,07-03-2020,Australia,AUS,Victoria,,,,11,,,,,,['AUS.10_1']
AUS_C1A,07-03-2020,Australia,AUS,Western Australia,,,,3,,,,,,['AUS.11_1']
AUS_C1A,08-03-2020,Australia,AUS,,,,,80,22,3,,,,['AUS']
AUS_C1A,08-03-2020,Australia,AUS,Australian Capital Territory,,,,,,,,,,['AUS.2_1']
AUS_C1A,08-03-2020,Australia,AUS,New South Wales,,,,40,,,,,,['AUS.5_1']
AUS_C1A,08-03-2020,Australia,AUS,Northern Territory,,,,,,,,,,['AUS.6_1']
AUS_C1A,08-03-2020,Australia,AUS,Queensland,,,,15,,,,,,['AUS.7_1']
AUS_C1A,08-03-2020,Australia,AUS,South Australia,,,,7,,,,,,['AUS.8_1']
AUS_C1A,08-03-2020,Australia,AUS,Tasmania,,,,2,,,,,,['AUS.9_1']
AUS_C1A,08-03-2020,Australia,AUS,Victoria,,,,12,,,,,,['AUS.10_1']
AUS_C1A,08-03-2020,Australia,AUS,Western Australia,,,,4,,,,,,['AUS.11_1']
AUS_C1A,09-03-2020,Australia,AUS,,,,,92,22,3,,,,['AUS']
AUS_C1A,09-03-2020,Australia,AUS,Australian Capital Territory,,,,,,,,,,['AUS.2_1']
AUS_C1A,09-03-2020,Australia,AUS,New South Wales,,,,47,,,,,,['AUS.5_1']
AUS_C1A,09-03-2020,Australia,AUS,Northern Territory,,,,,,,,,,['AUS.6_1']
AUS_C1A,09-03-2020,Australia,AUS,Queensland,,,,15,,,,,,['AUS.7_1']
AUS_C1A,09-03-2020,Australia,AUS,South Australia,,,,7,,,,,,['AUS.8_1']
AUS_C1A,09-03-2020,Australia,AUS,Tasmania,,,,2,,,,,,['AUS.9_1']
AUS_C1A,09-03-2020,Australia,AUS,Victoria,,,,15,,,,,,['AUS.10_1']
AUS_C1A,09-03-2020,Australia,AUS,Western Australia,,,,6,,,,,,['AUS.11_1']
AUS_C1A,10-03-2020,Australia,AUS,,,,,112,22,3,,,,['AUS']
AUS_C1A,10-03-2020,Australia,AUS,Australian Capital Territory,,,,,,,,,,['AUS.2_1']
AUS_C1A,10-03-2020,Australia,AUS,New South Wales,,,,60,,,,,,['AUS.5_1']
AUS_C1A,10-03-2020,Australia,AUS,Northern Territory,,,,,,,,,,['AUS.6_1']
AUS_C1A,10-03-2020,Australia,AUS,Queensland,,,,18,,,,,,['AUS.7_1']
AUS_C1A,10-03-2020,Australia,AUS,South Australia,,,,7,,,,,,['AUS.8_1']
AUS_C1A,10-03-2020,Australia,AUS,Tasmania,,,,2,,,,,,['AUS.9_1']
AUS_C1A,10-03-2020,Australia,AUS,Victoria,,,,19,,,,,,['AUS.10_1']
AUS_C1A,10-03-2020,Australia,AUS,Western Australia,,,,6,,,,,,['AUS.11_1']
AUS_C1A,11-03-2020,Australia,AUS,,,,,127,22,3,,,,['AUS']
AUS_C1A,11-03-2020,Australia,AUS,Australian Capital Territory,,,,,,,,,,['AUS.2_1']
AUS_C1A,11-03-2020,Australia,AUS,New South Wales,,,,64,,,,,,['AUS.5_1']
AUS_C1A,11-03-2020,Australia,AUS,Northern Territory,,,,,,,,,,['AUS.6_1']
AUS_C1A,11-03-2020,Australia,AUS,Queensland,,,,20,,,,,,['AUS.7_1']
AUS_C1A,11-03-2020,Australia,AUS,South Australia,,,,9,,,,,,['AUS.8_1']
AUS_C1A,11-03-2020,Australia,AUS,Tasmania,,,,3,,,,,,['AUS.9_1']
AUS_C1A,11-03-2020,Australia,AUS,Victoria,,,,22,,,,,,['AUS.10_1']
AUS_C1A,11-03-2020,Australia,AUS,Western Australia,,,,9,,,,,,['AUS.11_1']
AUS_C1A,12-03-2020,Australia,AUS,,,,,156,22,3,,,,['AUS']
AUS_C1A,12-03-2020,Australia,AUS,Australian Capital Territory,,,,1,,,,,,['AUS.2_1']
AUS_C1A,12-03-2020,Australia,AUS,New South Wales,,,,77,,,,,,['AUS.5_1']
AUS_C1A,12-03-2020,Australia,AUS,Northern Territory,,,,,,,,,,['AUS.6_1']
AUS_C1A,12-03-2020,Australia,AUS,Queensland,,,,27,,,,,,['AUS.7_1']
AUS_C1A,12-03-2020,Australia,AUS,South Australia,,,,12,,,,,,['AUS.8_1']
AUS_C1A,12-03-2020,Australia,AUS,Tasmania,,,,3,,,,,,['AUS.9_1']
AUS_C1A,12-03-2020,Australia,AUS,Victoria,,,,27,,,,,,['AUS.10_1']
AUS_C1A,12-03-2020,Australia,AUS,Western Australia,,,,9,,,,,,['AUS.11_1']
AUS_C1A,13-03-2020,Australia,AUS,,,,,198,22,3,,,,['AUS']
AUS_C1A,13-03-2020,Australia,AUS,Australian Capital Territory,,,,1,,,,,,['AUS.2_1']
AUS_C1A,13-03-2020,Australia,AUS,New South Wales,,,,91,,,,,,['AUS.5_1']
AUS_C1A,13-03-2020,Australia,AUS,Northern Territory,,,,,,,,,,['AUS.6_1']
AUS_C1A,13-03-2020,Australia,AUS,Queensland,,,,35,,,,,,['AUS.7_1']
AUS_C1A,13-03-2020,Australia,AUS,South Australia,,,,16,,,,,,['AUS.8_1']
AUS_C1A,13-03-2020,Australia,AUS,Tasmania,,,,5,,,,,,['AUS.9_1']
AUS_C1A,13-03-2020,Australia,AUS,Victoria,,,,36,,,,,,['AUS.10_1']
AUS_C1A,13-03-2020,Australia,AUS,Western Australia,,,,14,,,,,,['AUS.11_1']
AUS_C1A,14-03-2020,Australia,AUS,,,,,249,22,3,,,,['AUS']
AUS_C1A,14-03-2020,Australia,AUS,Australian Capital Territory,,,,1,,,,,,['AUS.2_1']
AUS_C1A,14-03-2020,Australia,AUS,New South Wales,,,,111,,,,,,['AUS.5_1']
AUS_C1A,14-03-2020,Australia,AUS,Northern Territory,,,,,,,,,,['AUS.6_1']
AUS_C1A,14-03-2020,Australia,AUS,Queensland,,,,46,,,,,,['AUS.7_1']
AUS_C1A,14-03-2020,Australia,AUS,South Australia,,,,19,,,,,,['AUS.8_1']
AUS_C1A,14-03-2020,Australia,AUS,Tasmania,,,,5,,,,,,['AUS.9_1']
AUS_C1A,14-03-2020,Australia,AUS,Victoria,,,,49,,,,,,['AUS.10_1']
AUS_C1A,14-03-2020,Australia,AUS,Western Australia,,,,17,,,,,,['AUS.11_1']
AUS_C1A,15-03-2020,Australia,AUS,,,,,289,25,5,,,,['AUS']
AUS_C1A,15-03-2020,Australia,AUS,Australian Capital Territory,,,,1,,,,,,['AUS.2_1']
AUS_C1A,15-03-2020,Australia,AUS,New South Wales,,,,133,,,,,,['AUS.5_1']
AUS_C1A,15-03-2020,Australia,AUS,Northern Territory,,,,,,,,,,['AUS.6_1']
AUS_C1A,15-03-2020,Australia,AUS,Queensland,,,,62,,,,,,['AUS.7_1']
AUS_C1A,15-03-2020,Australia,AUS,South Australia,,,,20,,,,,,['AUS.8_1']
AUS_C1A,15-03-2020,Australia,AUS,Tasmania,,,,7,,,,,,['AUS.9_1']
AUS_C1A,15-03-2020,Australia,AUS,Victoria,,,,57,,,,,,['AUS.10_1']
AUS_C1A,15-03-2020,Australia,AUS,Western Australia,,,,18,,,,,,['AUS.11_1']
AUS_C1A,16-03-2020,Australia,AUS,,,,,367,25,5,,,,['AUS']
AUS_C1A,16-03-2020,Australia,AUS,Australian Capital Territory,,,,2,,,,,,['AUS.2_1']
AUS_C1A,16-03-2020,Australia,AUS,New South Wales,,,,170,,,,,,['AUS.5_1']
AUS_C1A,16-03-2020,Australia,AUS,Northern Territory,,,,,,,,,,['AUS.6_1']
AUS_C1A,16-03-2020,Australia,AUS,Queensland,,,,68,,,,,,['AUS.7_1']
AUS_C1A,16-03-2020,Australia,AUS,South Australia,,,,30,,,,,,['AUS.8_1']
AUS_C1A,16-03-2020,Australia,AUS,Tasmania,,,,7,,,,,,['AUS.9_1']
AUS_C1A,16-03-2020,Australia,AUS,Victoria,,,,71,,,,,,['AUS.10_1']
AUS_C1A,16-03-2020,Australia,AUS,Western Australia,,,,28,,,,,,['AUS.11_1']
AUS_C1A,17-03-2020,Australia,AUS,,,,,452,25,5,,,,['AUS']
AUS_C1A,17-03-2020,Australia,AUS,Australian Capital Territory,,,,2,,,,,,['AUS.2_1']
AUS_C1A,17-03-2020,Australia,AUS,New South Wales,,,,209,,,,,,['AUS.5_1']
AUS_C1A,17-03-2020,Australia,AUS,Northern Territory,,,,,,,,,,['AUS.6_1']
AUS_C1A,17-03-2020,Australia,AUS,Queensland,,,,78,,,,,,['AUS.7_1']
AUS_C1A,17-03-2020,Australia,AUS,South Australia,,,,32,,,,,,['AUS.8_1']
AUS_C1A,17-03-2020,Australia,AUS,Tasmania,,,,7,,,,,,['AUS.9_1']
AUS_C1A,17-03-2020,Australia,AUS,Victoria,,,,94,,,,,,['AUS.10_1']
AUS_C1A,17-03-2020,Australia,AUS,Western Australia,,,,31,,,,,,['AUS.11_1']
AUS_C1A,18-03-2020,Australia,AUS,,,,,565,25,6,,,,['AUS']
AUS_C1A,18-03-2020,Australia,AUS,Australian Capital Territory,,,1857,3,,,,,,['AUS.2_1']
AUS_C1A,18-03-2020,Australia,AUS,New South Wales,,,35800,266,,,,,,['AUS.5_1']
AUS_C1A,18-03-2020,Australia,AUS,Northern Territory,,,,,,,,,,['AUS.6_1']
AUS_C1A,18-03-2020,Australia,AUS,Queensland,,,24626,94,,,,,,['AUS.7_1']
AUS_C1A,18-03-2020,Australia,AUS,South Australia,,,2510,37,,,,,,['AUS.8_1']
AUS_C1A,18-03-2020,Australia,AUS,Tasmania,,,359,10,,,,,,['AUS.9_1']
AUS_C1A,18-03-2020,Australia,AUS,Victoria,,,15200,121,,,,,,['AUS.10_1']
AUS_C1A,18-03-2020,Australia,AUS,Western Australia,,,8000,35,,,,,,['AUS.11_1']
AUS_C1A,19-03-2020,Australia,AUS,,,,,709,46,6,,,,['AUS']
AUS_C1A,19-03-2020,Australia,AUS,Australian Capital Territory,,,1857,4,,,,,,['AUS.2_1']
AUS_C1A,19-03-2020,Australia,AUS,New South Wales,,,39089,306,,,,,,['AUS.5_1']
AUS_C1A,19-03-2020,Australia,AUS,Northern Territory,,,,,,,,,,['AUS.6_1']
