source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
SWE_GM,06-07-2020,Sweden,SWE,Västernorrland,,,,1404,,121,,,,['SWE.19_1']
SWE_GM,06-07-2020,Sweden,SWE,Värmland,,,,957,,70,,,,['SWE.17_1']
SWE_GM,06-07-2020,Sweden,SWE,Norrbotten,,,,1396,,75,,,,['SWE.10_1']
SWE_GM,06-07-2020,Sweden,SWE,Västerbotten,,,,721,,31,,,,['SWE.18_1']
SWE_GM,06-07-2020,Sweden,SWE,Kronoberg,,,,1071,,98,,,,['SWE.9_1']
SWE_GM,06-07-2020,Sweden,SWE,Kalmar,,,,664,,56,,,,['SWE.8_1']
SWE_GM,06-07-2020,Sweden,SWE,Jönköping,,,,4093,,169,,,,['SWE.7_1']
SWE_GM,06-07-2020,Sweden,SWE,Jämtland,,,,1043,,60,,,,['SWE.6_1']
SWE_GM,06-07-2020,Sweden,SWE,Halland,,,,1589,,74,,,,['SWE.5_1']
SWE_GM,06-07-2020,Sweden,SWE,Gävleborg,,,,2670,,131,,,,['SWE.3_1']
SWE_GM,06-07-2020,Sweden,SWE,Gotland,,,,164,,7,,,,['SWE.4_1']
SWE_GM,06-07-2020,Sweden,SWE,Dalarna,,,,1680,,157,,,,['SWE.2_1']
SWE_GM,05-07-2020,Sweden,SWE,Orebro,,,,2342,,163,,,,['SWE.11_1']
SWE_GM,05-07-2020,Sweden,SWE,UNKNOWN,,,,0,,0,,,,
SWE_GM,05-07-2020,Sweden,SWE,Västmanland,,,,2285,,166,,,,['SWE.20_1']
SWE_GM,05-07-2020,Sweden,SWE,Östergötland,,,,3398,,239,,,,['SWE.12_1']
SWE_GM,05-07-2020,Sweden,SWE,Västra Götaland,,,,15643,,777,,,,['SWE.21_1']
SWE_GM,05-07-2020,Sweden,SWE,Västernorrland,,,,1404,,121,,,,['SWE.19_1']
SWE_GM,05-07-2020,Sweden,SWE,Västerbotten,,,,721,,31,,,,['SWE.18_1']
SWE_GM,05-07-2020,Sweden,SWE,Värmland,,,,957,,70,,,,['SWE.17_1']
SWE_GM,05-07-2020,Sweden,SWE,Uppsala,,,,3362,,226,,,,['SWE.16_1']
SWE_GM,05-07-2020,Sweden,SWE,Södermanland,,,,2166,,245,,,,['SWE.14_1']
SWE_GM,05-07-2020,Sweden,SWE,Stockholm,,,,20923,,2304,,,,['SWE.15_1']
SWE_GM,05-07-2020,Sweden,SWE,Skåne,,,,3091,,259,,,,['SWE.13_1']
SWE_GM,05-07-2020,Sweden,SWE,Norrbotten,,,,1396,,75,,,,['SWE.10_1']
SWE_GM,05-07-2020,Sweden,SWE,Kronoberg,,,,1071,,98,,,,['SWE.9_1']
SWE_GM,05-07-2020,Sweden,SWE,Kalmar,,,,664,,56,,,,['SWE.8_1']
SWE_GM,05-07-2020,Sweden,SWE,Jönköping,,,,4093,,169,,,,['SWE.7_1']
SWE_GM,05-07-2020,Sweden,SWE,Jämtland,,,,1043,,60,,,,['SWE.6_1']
SWE_GM,05-07-2020,Sweden,SWE,Halland,,,,1589,,74,,,,['SWE.5_1']
SWE_GM,05-07-2020,Sweden,SWE,Dalarna,,,,1680,,157,,,,['SWE.2_1']
SWE_GM,05-07-2020,Sweden,SWE,Gävleborg,,,,2670,,131,,,,['SWE.3_1']
SWE_GM,05-07-2020,Sweden,SWE,Gotland,,,,164,,7,,,,['SWE.4_1']
SWE_GM,05-07-2020,Sweden,SWE,Blekinge,,,,450,,14,,,,['SWE.1_1']
SWE_GM,04-07-2020,Sweden,SWE,Halland,,,,1589,,74,,,,['SWE.5_1']
SWE_GM,04-07-2020,Sweden,SWE,Gävleborg,,,,2670,,131,,,,['SWE.3_1']
SWE_GM,04-07-2020,Sweden,SWE,Gotland,,,,164,,7,,,,['SWE.4_1']
SWE_GM,04-07-2020,Sweden,SWE,Dalarna,,,,1680,,157,,,,['SWE.2_1']
SWE_GM,04-07-2020,Sweden,SWE,Blekinge,,,,450,,14,,,,['SWE.1_1']
SWE_GM,04-07-2020,Sweden,SWE,Norrbotten,,,,1396,,75,,,,['SWE.10_1']
SWE_GM,04-07-2020,Sweden,SWE,Kalmar,,,,664,,56,,,,['SWE.8_1']
SWE_GM,04-07-2020,Sweden,SWE,Skåne,,,,3091,,259,,,,['SWE.13_1']
SWE_GM,04-07-2020,Sweden,SWE,Stockholm,,,,20923,,2304,,,,['SWE.15_1']
SWE_GM,04-07-2020,Sweden,SWE,Södermanland,,,,2166,,245,,,,['SWE.14_1']
SWE_GM,04-07-2020,Sweden,SWE,Uppsala,,,,3362,,226,,,,['SWE.16_1']
SWE_GM,04-07-2020,Sweden,SWE,Värmland,,,,957,,70,,,,['SWE.17_1']
SWE_GM,04-07-2020,Sweden,SWE,Västerbotten,,,,721,,31,,,,['SWE.18_1']
