source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
FRA_SPFCG,27-01-2020,France,FRA,Reunion,,,,,,,,,,['REU']
FRA_SPFCG,27-01-2020,France,FRA,,,,,3,,,,,,['FRA']
FRA_SPFCG,27-01-2020,France,FRA,Mayotte,,,,,,,,,,['MYT']
FRA_SPFCG,27-01-2020,France,FRA,French Guiana,,,,,,,,,,['GUF']
FRA_SPFCG,27-01-2020,France,FRA,Martinique,,,,,,,,,,['MTQ']
FRA_SPFCG,27-01-2020,France,FRA,Provence-Alpes-Côte d'Azur,,,,,,,,,,['FRA.13_1']
FRA_SPFCG,27-01-2020,France,FRA,Hauts-de-France,,,,,,,,,,['FRA.7_1']
FRA_SPFCG,27-01-2020,France,FRA,Grand Est,,,,,,,,,,['FRA.6_1']
FRA_SPFCG,27-01-2020,France,FRA,Guadeloupe,,,,,,,,,,['GLP']
FRA_SPFCG,27-01-2020,France,FRA,Nouvelle-Aquitaine,,,,1,,,,,,['FRA.10_1']
FRA_SPFCG,27-01-2020,France,FRA,Pays de la Loire,,,,,,,,,,['FRA.12_1']
FRA_SPFCG,27-01-2020,France,FRA,Normandie,,,,,,,,,,['FRA.9_1']
FRA_SPFCG,27-01-2020,France,FRA,Île-de-France,,,,2,,,,,,['FRA.8_1']
FRA_SPFCG,28-01-2020,France,FRA,Provence-Alpes-Côte d'Azur,,,,,,,,,,['FRA.13_1']
FRA_SPFCG,28-01-2020,France,FRA,Centre-Val de Loire,,,,,,,,,,['FRA.4_1']
FRA_SPFCG,28-01-2020,France,FRA,Corse,,,,,,,,,,['FRA.5_1']
FRA_SPFCG,28-01-2020,France,FRA,Île-de-France,,,,3,,,,,,['FRA.8_1']
FRA_SPFCG,28-01-2020,France,FRA,Pays de la Loire,,,,,,,,,,['FRA.12_1']
FRA_SPFCG,28-01-2020,France,FRA,Nouvelle-Aquitaine,,,,1,,,,,,['FRA.10_1']
FRA_SPFCG,28-01-2020,France,FRA,Normandie,,,,,,,,,,['FRA.9_1']
FRA_SPFCG,28-01-2020,France,FRA,Hauts-de-France,,,,,,,,,,['FRA.7_1']
FRA_SPFCG,28-01-2020,France,FRA,Grand Est,,,,,,,,,,['FRA.6_1']
FRA_SPFCG,28-01-2020,France,FRA,Bretagne,,,,,,,,,,['FRA.3_1']
FRA_SPFCG,28-01-2020,France,FRA,Bourgogne-Franche-Comté,,,,,,,,,,['FRA.2_1']
FRA_SPFCG,28-01-2020,France,FRA,Auvergne-Rhône-Alpes,,,,,,,,,,['FRA.1_1']
FRA_SPFCG,28-01-2020,France,FRA,Mayotte,,,,,,,,,,['MYT']
FRA_SPFCG,28-01-2020,France,FRA,,,,,4,,,,,,['FRA']
FRA_SPFCG,28-01-2020,France,FRA,Reunion,,,,,,,,,,['REU']
FRA_SPFCG,28-01-2020,France,FRA,French Guiana,,,,,,,,,,['GUF']
FRA_SPFCG,28-01-2020,France,FRA,Martinique,,,,,,,,,,['MTQ']
FRA_SPFCG,28-01-2020,France,FRA,Guadeloupe,,,,,,,,,,['GLP']
FRA_SPFCG,28-01-2020,France,FRA,Occitanie,,,,,,,,,,['FRA.11_1']
FRA_SPFCG,29-01-2020,France,FRA,Auvergne-Rhône-Alpes,,,,,,,,,,['FRA.1_1']
FRA_SPFCG,29-01-2020,France,FRA,French Guiana,,,,,,,,,,['GUF']
FRA_SPFCG,29-01-2020,France,FRA,Reunion,,,,,,,,,,['REU']
FRA_SPFCG,29-01-2020,France,FRA,Mayotte,,,,,,,,,,['MYT']
FRA_SPFCG,29-01-2020,France,FRA,,,,,5,,,,,,['FRA']
FRA_SPFCG,29-01-2020,France,FRA,Guadeloupe,,,,,,,,,,['GLP']
FRA_SPFCG,29-01-2020,France,FRA,Martinique,,,,,,,,,,['MTQ']
FRA_SPFCG,29-01-2020,France,FRA,Centre-Val de Loire,,,,,,,,,,['FRA.4_1']
FRA_SPFCG,29-01-2020,France,FRA,Bretagne,,,,,,,,,,['FRA.3_1']
FRA_SPFCG,29-01-2020,France,FRA,Bourgogne-Franche-Comté,,,,,,,,,,['FRA.2_1']
FRA_SPFCG,29-01-2020,France,FRA,Nouvelle-Aquitaine,,,,1,,,,,,['FRA.10_1']
FRA_SPFCG,29-01-2020,France,FRA,Provence-Alpes-Côte d'Azur,,,,,,,,,,['FRA.13_1']
FRA_SPFCG,29-01-2020,France,FRA,Pays de la Loire,,,,,,,,,,['FRA.12_1']
FRA_SPFCG,29-01-2020,France,FRA,Occitanie,,,,,,,,,,['FRA.11_1']
FRA_SPFCG,29-01-2020,France,FRA,Normandie,,,,,,,,,,['FRA.9_1']
FRA_SPFCG,29-01-2020,France,FRA,Île-de-France,,,,4,,,,,,['FRA.8_1']
FRA_SPFCG,29-01-2020,France,FRA,Hauts-de-France,,,,,,,,,,['FRA.7_1']
FRA_SPFCG,29-01-2020,France,FRA,Grand Est,,,,,,,,,,['FRA.6_1']
FRA_SPFCG,29-01-2020,France,FRA,Corse,,,,,,,,,,['FRA.5_1']
FRA_SPFCG,30-01-2020,France,FRA,Pays de la Loire,,,,,,,,,,['FRA.12_1']
FRA_SPFCG,30-01-2020,France,FRA,Île-de-France,,,,5,,,,,,['FRA.8_1']
FRA_SPFCG,30-01-2020,France,FRA,French Guiana,,,,,,,,,,['GUF']
FRA_SPFCG,30-01-2020,France,FRA,Martinique,,,,,,,,,,['MTQ']
FRA_SPFCG,30-01-2020,France,FRA,Corse,,,,,,,,,,['FRA.5_1']
FRA_SPFCG,30-01-2020,France,FRA,Provence-Alpes-Côte d'Azur,,,,,,,,,,['FRA.13_1']
FRA_SPFCG,30-01-2020,France,FRA,Guadeloupe,,,,,,,,,,['GLP']
FRA_SPFCG,30-01-2020,France,FRA,Centre-Val de Loire,,,,,,,,,,['FRA.4_1']
FRA_SPFCG,30-01-2020,France,FRA,Bretagne,,,,,,,,,,['FRA.3_1']
FRA_SPFCG,30-01-2020,France,FRA,Bourgogne-Franche-Comté,,,,,,,,,,['FRA.2_1']
FRA_SPFCG,30-01-2020,France,FRA,,,,,6,,,,,,['FRA']
FRA_SPFCG,30-01-2020,France,FRA,Mayotte,,,,,,,,,,['MYT']
FRA_SPFCG,30-01-2020,France,FRA,Reunion,,,,,,,,,,['REU']
FRA_SPFCG,30-01-2020,France,FRA,Auvergne-Rhône-Alpes,,,,,,,,,,['FRA.1_1']
FRA_SPFCG,30-01-2020,France,FRA,Grand Est,,,,,,,,,,['FRA.6_1']
FRA_SPFCG,30-01-2020,France,FRA,Hauts-de-France,,,,,,,,,,['FRA.7_1']
FRA_SPFCG,30-01-2020,France,FRA,Normandie,,,,,,,,,,['FRA.9_1']
FRA_SPFCG,30-01-2020,France,FRA,Nouvelle-Aquitaine,,,,1,,,,,,['FRA.10_1']
FRA_SPFCG,30-01-2020,France,FRA,Occitanie,,,,,,,,,,['FRA.11_1']
FRA_SPFCG,31-01-2020,France,FRA,,,,,6,,,,,,['FRA']
FRA_SPFCG,31-01-2020,France,FRA,Reunion,,,,,,,,,,['REU']
FRA_SPFCG,31-01-2020,France,FRA,Mayotte,,,,,,,,,,['MYT']
FRA_SPFCG,31-01-2020,France,FRA,Auvergne-Rhône-Alpes,,,,,,,,,,['FRA.1_1']
FRA_SPFCG,31-01-2020,France,FRA,Bourgogne-Franche-Comté,,,,,,,,,,['FRA.2_1']
FRA_SPFCG,31-01-2020,France,FRA,Bretagne,,,,,,,,,,['FRA.3_1']
FRA_SPFCG,31-01-2020,France,FRA,Centre-Val de Loire,,,,,,,,,,['FRA.4_1']
FRA_SPFCG,31-01-2020,France,FRA,Corse,,,,,,,,,,['FRA.5_1']
FRA_SPFCG,31-01-2020,France,FRA,Grand Est,,,,,,,,,,['FRA.6_1']
FRA_SPFCG,31-01-2020,France,FRA,Hauts-de-France,,,,,,,,,,['FRA.7_1']
FRA_SPFCG,31-01-2020,France,FRA,Île-de-France,,,,5,,,,,,['FRA.8_1']
FRA_SPFCG,31-01-2020,France,FRA,Normandie,,,,,,,,,,['FRA.9_1']
FRA_SPFCG,31-01-2020,France,FRA,Nouvelle-Aquitaine,,,,1,,,,,,['FRA.10_1']
FRA_SPFCG,31-01-2020,France,FRA,Occitanie,,,,,,,,,,['FRA.11_1']
FRA_SPFCG,31-01-2020,France,FRA,Pays de la Loire,,,,,,,,,,['FRA.12_1']
FRA_SPFCG,31-01-2020,France,FRA,Provence-Alpes-Côte d'Azur,,,,,,,,,,['FRA.13_1']
FRA_SPFCG,31-01-2020,France,FRA,Guadeloupe,,,,,,,,,,['GLP']
FRA_SPFCG,31-01-2020,France,FRA,Martinique,,,,,,,,,,['MTQ']
FRA_SPFCG,31-01-2020,France,FRA,French Guiana,,,,,,,,,,['GUF']
FRA_SPFCG,01-02-2020,France,FRA,Hauts-de-France,,,,,,,,,,['FRA.7_1']
FRA_SPFCG,01-02-2020,France,FRA,Grand Est,,,,,,,,,,['FRA.6_1']
FRA_SPFCG,01-02-2020,France,FRA,Corse,,,,,,,,,,['FRA.5_1']
FRA_SPFCG,01-02-2020,France,FRA,Bretagne,,,,,,,,,,['FRA.3_1']
FRA_SPFCG,01-02-2020,France,FRA,Bourgogne-Franche-Comté,,,,,,,,,,['FRA.2_1']
FRA_SPFCG,01-02-2020,France,FRA,Auvergne-Rhône-Alpes,,,,,,,,,,['FRA.1_1']
FRA_SPFCG,01-02-2020,France,FRA,,,,,6,,,,,,['FRA']
FRA_SPFCG,01-02-2020,France,FRA,Reunion,,,,,,,,,,['REU']
FRA_SPFCG,01-02-2020,France,FRA,Mayotte,,,,,,,,,,['MYT']
FRA_SPFCG,01-02-2020,France,FRA,Centre-Val de Loire,,,,,,,,,,['FRA.4_1']
FRA_SPFCG,01-02-2020,France,FRA,Nouvelle-Aquitaine,,,,1,,,,,,['FRA.10_1']
FRA_SPFCG,01-02-2020,France,FRA,Guadeloupe,,,,,,,,,,['GLP']
FRA_SPFCG,01-02-2020,France,FRA,Martinique,,,,,,,,,,['MTQ']
FRA_SPFCG,01-02-2020,France,FRA,Provence-Alpes-Côte d'Azur,,,,,,,,,,['FRA.13_1']
FRA_SPFCG,01-02-2020,France,FRA,Pays de la Loire,,,,,,,,,,['FRA.12_1']
FRA_SPFCG,01-02-2020,France,FRA,Occitanie,,,,,,,,,,['FRA.11_1']
FRA_SPFCG,01-02-2020,France,FRA,French Guiana,,,,,,,,,,['GUF']
FRA_SPFCG,01-02-2020,France,FRA,Normandie,,,,,,,,,,['FRA.9_1']
FRA_SPFCG,01-02-2020,France,FRA,Île-de-France,,,,5,,,,,,['FRA.8_1']
FRA_SPFCG,02-02-2020,France,FRA,French Guiana,,,,,,,,,,['GUF']
FRA_SPFCG,02-02-2020,France,FRA,Martinique,,,,,,,,,,['MTQ']
FRA_SPFCG,02-02-2020,France,FRA,Guadeloupe,,,,,,,,,,['GLP']
FRA_SPFCG,02-02-2020,France,FRA,Provence-Alpes-Côte d'Azur,,,,,,,,,,['FRA.13_1']
FRA_SPFCG,02-02-2020,France,FRA,Pays de la Loire,,,,,,,,,,['FRA.12_1']
FRA_SPFCG,02-02-2020,France,FRA,Occitanie,,,,,,,,,,['FRA.11_1']
FRA_SPFCG,02-02-2020,France,FRA,Nouvelle-Aquitaine,,,,1,,,,,,['FRA.10_1']
FRA_SPFCG,02-02-2020,France,FRA,Normandie,,,,,,,,,,['FRA.9_1']
FRA_SPFCG,02-02-2020,France,FRA,Île-de-France,,,,5,,,,,,['FRA.8_1']
FRA_SPFCG,02-02-2020,France,FRA,Hauts-de-France,,,,,,,,,,['FRA.7_1']
FRA_SPFCG,02-02-2020,France,FRA,Grand Est,,,,,,,,,,['FRA.6_1']
FRA_SPFCG,02-02-2020,France,FRA,Corse,,,,,,,,,,['FRA.5_1']
FRA_SPFCG,02-02-2020,France,FRA,Centre-Val de Loire,,,,,,,,,,['FRA.4_1']
FRA_SPFCG,02-02-2020,France,FRA,Bretagne,,,,,,,,,,['FRA.3_1']
FRA_SPFCG,02-02-2020,France,FRA,Bourgogne-Franche-Comté,,,,,,,,,,['FRA.2_1']
FRA_SPFCG,02-02-2020,France,FRA,Auvergne-Rhône-Alpes,,,,,,,,,,['FRA.1_1']
FRA_SPFCG,02-02-2020,France,FRA,,,,,6,,,,,,['FRA']
FRA_SPFCG,02-02-2020,France,FRA,Mayotte,,,,,,,,,,['MYT']
FRA_SPFCG,02-02-2020,France,FRA,Reunion,,,,,,,,,,['REU']
FRA_SPFCG,03-02-2020,France,FRA,Reunion,,,,,,,,,,['REU']
FRA_SPFCG,03-02-2020,France,FRA,Bretagne,,,,,,,,,,['FRA.3_1']
FRA_SPFCG,03-02-2020,France,FRA,Centre-Val de Loire,,,,,,,,,,['FRA.4_1']
FRA_SPFCG,03-02-2020,France,FRA,Corse,,,,,,,,,,['FRA.5_1']
FRA_SPFCG,03-02-2020,France,FRA,Grand Est,,,,,,,,,,['FRA.6_1']
FRA_SPFCG,03-02-2020,France,FRA,Auvergne-Rhône-Alpes,,,,,,,,,,['FRA.1_1']
FRA_SPFCG,03-02-2020,France,FRA,Hauts-de-France,,,,,,,,,,['FRA.7_1']
FRA_SPFCG,03-02-2020,France,FRA,Bourgogne-Franche-Comté,,,,,,,,,,['FRA.2_1']
FRA_SPFCG,03-02-2020,France,FRA,Île-de-France,,,,5,,,,,,['FRA.8_1']
FRA_SPFCG,03-02-2020,France,FRA,Mayotte,,,,,,,,,,['MYT']
FRA_SPFCG,03-02-2020,France,FRA,,,,,6,,,,,,['FRA']
FRA_SPFCG,03-02-2020,France,FRA,Nouvelle-Aquitaine,,,,1,,,,,,['FRA.10_1']
FRA_SPFCG,03-02-2020,France,FRA,Occitanie,,,,,,,,,,['FRA.11_1']
FRA_SPFCG,03-02-2020,France,FRA,Pays de la Loire,,,,,,,,,,['FRA.12_1']
FRA_SPFCG,03-02-2020,France,FRA,Provence-Alpes-Côte d'Azur,,,,,,,,,,['FRA.13_1']
FRA_SPFCG,03-02-2020,France,FRA,Guadeloupe,,,,,,,,,,['GLP']
FRA_SPFCG,03-02-2020,France,FRA,Normandie,,,,,,,,,,['FRA.9_1']
FRA_SPFCG,03-02-2020,France,FRA,Martinique,,,,,,,,,,['MTQ']
FRA_SPFCG,03-02-2020,France,FRA,French Guiana,,,,,,,,,,['GUF']
FRA_SPFCG,04-02-2020,France,FRA,Grand Est,,,,,,,,,,['FRA.6_1']
FRA_SPFCG,04-02-2020,France,FRA,Auvergne-Rhône-Alpes,,,,,,,,,,['FRA.1_1']
FRA_SPFCG,04-02-2020,France,FRA,Bourgogne-Franche-Comté,,,,,,,,,,['FRA.2_1']
FRA_SPFCG,04-02-2020,France,FRA,Bretagne,,,,,,,,,,['FRA.3_1']
FRA_SPFCG,04-02-2020,France,FRA,Centre-Val de Loire,,,,,,,,,,['FRA.4_1']
FRA_SPFCG,04-02-2020,France,FRA,Corse,,,,,,,,,,['FRA.5_1']
FRA_SPFCG,04-02-2020,France,FRA,Hauts-de-France,,,,,,,,,,['FRA.7_1']
FRA_SPFCG,04-02-2020,France,FRA,Île-de-France,,,,5,,,,,,['FRA.8_1']
FRA_SPFCG,04-02-2020,France,FRA,Provence-Alpes-Côte d'Azur,,,,,,,,,,['FRA.13_1']
FRA_SPFCG,04-02-2020,France,FRA,,,,,6,,,,,,['FRA']
FRA_SPFCG,04-02-2020,France,FRA,Mayotte,,,,,,,,,,['MYT']
FRA_SPFCG,04-02-2020,France,FRA,Reunion,,,,,,,,,,['REU']
FRA_SPFCG,04-02-2020,France,FRA,French Guiana,,,,,,,,,,['GUF']
FRA_SPFCG,04-02-2020,France,FRA,Martinique,,,,,,,,,,['MTQ']
FRA_SPFCG,04-02-2020,France,FRA,Guadeloupe,,,,,,,,,,['GLP']
FRA_SPFCG,04-02-2020,France,FRA,Pays de la Loire,,,,,,,,,,['FRA.12_1']
FRA_SPFCG,04-02-2020,France,FRA,Occitanie,,,,,,,,,,['FRA.11_1']
FRA_SPFCG,04-02-2020,France,FRA,Nouvelle-Aquitaine,,,,1,,,,,,['FRA.10_1']
FRA_SPFCG,04-02-2020,France,FRA,Normandie,,,,,,,,,,['FRA.9_1']
FRA_SPFCG,05-02-2020,France,FRA,Centre-Val de Loire,,,,,,,,,,['FRA.4_1']
FRA_SPFCG,05-02-2020,France,FRA,Corse,,,,,,,,,,['FRA.5_1']
FRA_SPFCG,05-02-2020,France,FRA,Hauts-de-France,,,,,,,,,,['FRA.7_1']
FRA_SPFCG,05-02-2020,France,FRA,Bretagne,,,,,,,,,,['FRA.3_1']
FRA_SPFCG,05-02-2020,France,FRA,,,,,6,,,,,,['FRA']
FRA_SPFCG,05-02-2020,France,FRA,Provence-Alpes-Côte d'Azur,,,,,,,,,,['FRA.13_1']
FRA_SPFCG,05-02-2020,France,FRA,Guadeloupe,,,,,,,,,,['GLP']
FRA_SPFCG,05-02-2020,France,FRA,Martinique,,,,,,,,,,['MTQ']
FRA_SPFCG,05-02-2020,France,FRA,French Guiana,,,,,,,,,,['GUF']
FRA_SPFCG,05-02-2020,France,FRA,Reunion,,,,,,,,,,['REU']
FRA_SPFCG,05-02-2020,France,FRA,Pays de la Loire,,,,,,,,,,['FRA.12_1']
FRA_SPFCG,05-02-2020,France,FRA,Occitanie,,,,,,,,,,['FRA.11_1']
FRA_SPFCG,05-02-2020,France,FRA,Nouvelle-Aquitaine,,,,1,,,,,,['FRA.10_1']
FRA_SPFCG,05-02-2020,France,FRA,Normandie,,,,,,,,,,['FRA.9_1']
FRA_SPFCG,05-02-2020,France,FRA,Île-de-France,,,,5,,,,,,['FRA.8_1']
FRA_SPFCG,05-02-2020,France,FRA,Auvergne-Rhône-Alpes,,,,,,,,,,['FRA.1_1']
FRA_SPFCG,05-02-2020,France,FRA,Grand Est,,,,,,,,,,['FRA.6_1']
FRA_SPFCG,05-02-2020,France,FRA,Bourgogne-Franche-Comté,,,,,,,,,,['FRA.2_1']
FRA_SPFCG,05-02-2020,France,FRA,Mayotte,,,,,,,,,,['MYT']
FRA_SPFCG,06-02-2020,France,FRA,,,,,6,,,,,,['FRA']
FRA_SPFCG,06-02-2020,France,FRA,Grand Est,,,,,,,,,,['FRA.6_1']
FRA_SPFCG,06-02-2020,France,FRA,Île-de-France,,,,5,,,,,,['FRA.8_1']
FRA_SPFCG,06-02-2020,France,FRA,Normandie,,,,,,,,,,['FRA.9_1']
FRA_SPFCG,06-02-2020,France,FRA,Nouvelle-Aquitaine,,,,1,,,,,,['FRA.10_1']
FRA_SPFCG,06-02-2020,France,FRA,Pays de la Loire,,,,,,,,,,['FRA.12_1']
FRA_SPFCG,06-02-2020,France,FRA,Guadeloupe,,,,,,,,,,['GLP']
FRA_SPFCG,06-02-2020,France,FRA,Martinique,,,,,,,,,,['MTQ']
FRA_SPFCG,06-02-2020,France,FRA,French Guiana,,,,,,,,,,['GUF']
FRA_SPFCG,06-02-2020,France,FRA,Reunion,,,,,,,,,,['REU']
FRA_SPFCG,06-02-2020,France,FRA,Mayotte,,,,,,,,,,['MYT']
FRA_SPFCG,06-02-2020,France,FRA,Occitanie,,,,,,,,,,['FRA.11_1']
FRA_SPFCG,06-02-2020,France,FRA,Corse,,,,,,,,,,['FRA.5_1']
FRA_SPFCG,06-02-2020,France,FRA,Provence-Alpes-Côte d'Azur,,,,,,,,,,['FRA.13_1']
FRA_SPFCG,06-02-2020,France,FRA,Centre-Val de Loire,,,,,,,,,,['FRA.4_1']
FRA_SPFCG,06-02-2020,France,FRA,Bretagne,,,,,,,,,,['FRA.3_1']
FRA_SPFCG,06-02-2020,France,FRA,Bourgogne-Franche-Comté,,,,,,,,,,['FRA.2_1']
FRA_SPFCG,06-02-2020,France,FRA,Auvergne-Rhône-Alpes,,,,,,,,,,['FRA.1_1']
FRA_SPFCG,06-02-2020,France,FRA,Hauts-de-France,,,,,,,,,,['FRA.7_1']
FRA_SPFCG,07-02-2020,France,FRA,Mayotte,,,,,,,,,,['MYT']
FRA_SPFCG,07-02-2020,France,FRA,Bourgogne-Franche-Comté,,,,,,,,,,['FRA.2_1']
FRA_SPFCG,07-02-2020,France,FRA,Bretagne,,,,,,,,,,['FRA.3_1']
FRA_SPFCG,07-02-2020,France,FRA,Centre-Val de Loire,,,,,,,,,,['FRA.4_1']
FRA_SPFCG,07-02-2020,France,FRA,Corse,,,,,,,,,,['FRA.5_1']
FRA_SPFCG,07-02-2020,France,FRA,Grand Est,,,,,,,,,,['FRA.6_1']
FRA_SPFCG,07-02-2020,France,FRA,Hauts-de-France,,,,,,,,,,['FRA.7_1']
FRA_SPFCG,07-02-2020,France,FRA,Île-de-France,,,,5,,,,,,['FRA.8_1']
FRA_SPFCG,07-02-2020,France,FRA,Normandie,,,,,,,,,,['FRA.9_1']
FRA_SPFCG,07-02-2020,France,FRA,Nouvelle-Aquitaine,,,,1,,,,,,['FRA.10_1']
FRA_SPFCG,07-02-2020,France,FRA,Occitanie,,,,,,,,,,['FRA.11_1']
FRA_SPFCG,07-02-2020,France,FRA,Pays de la Loire,,,,,,,,,,['FRA.12_1']
FRA_SPFCG,07-02-2020,France,FRA,Provence-Alpes-Côte d'Azur,,,,,,,,,,['FRA.13_1']
FRA_SPFCG,07-02-2020,France,FRA,Guadeloupe,,,,,,,,,,['GLP']
FRA_SPFCG,07-02-2020,France,FRA,Martinique,,,,,,,,,,['MTQ']
